Name,Table,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Alaa Abdelnaby,playoffs_per_minute,1990-91,22,POR,NBA,PF,5,0,13,5.5,16.6,.333,0.0,0.0,,5.5,16.6,.333,0.0,0.0,,2.8,5.5,8.3,0.0,0.0,0.0,0.0,0.0,11.1,
Alaa Abdelnaby,playoffs_per_minute,1991-92,23,POR,NBA,PF,8,0,25,7.2,14.4,.500,0.0,0.0,,7.2,14.4,.500,2.9,5.8,.500,0.0,5.8,5.8,2.9,0.0,0.0,2.9,5.8,17.3,
Alaa Abdelnaby,playoffs_per_minute,1992-93,24,BOS,NBA,PF,4,4,68,5.8,12.7,.458,0.0,0.0,,5.8,12.7,.458,0.0,0.0,,1.1,5.8,6.9,0.5,0.0,0.5,4.8,3.7,11.6,

Name,Table,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Zaid Abdul-Aziz,playoffs_per_minute,1969-70,23,MIL,NBA,PF,7,,82,4.8,8.3,.579,,,,4.8,8.3,.579,3.5,4.4,.800,,,11.4,1.8,,,,2.2,13.2,
Zaid Abdul-Aziz,playoffs_per_minute,1974-75,28,HOU,NBA,C,6,,68,6.4,16.4,.387,,,,6.4,16.4,.387,1.1,2.6,.400,3.7,5.3,9.0,1.6,0.5,1.6,,2.6,13.8,
Zaid Abdul-Aziz,playoffs_per_minute,1975-76,29,SEA,NBA,C,5,,60,8.4,12.0,.700,,,,8.4,12.0,.700,4.8,6.6,.727,2.4,10.2,12.6,1.2,0.0,3.0,,1.2,21.6,

