Location:,Team Names:,Seasons:,Record:,Playoff Appearances:,Championships:
"Atlanta, Georgia","Atlanta Hawks, St. Louis Hawks, Milwaukee Hawks, Tri-Cities Blackhawks",67; 1949-50 to 2015-16,"2630-2644, .499 W-L%",44,1
"Boston, Massachusetts",Boston Celtics,70; 1946-47 to 2015-16,"3201-2245, .588 W-L%",52,17
"Brooklyn, New York","Brooklyn Nets, New Jersey Nets, New York Nets, New York Nets, New Jersey Americans",49 (40 NBA &amp; 9 ABA); 1967-68 to 2015-16,"1725-2218, .437 W-L% (1351-1848 NBA &amp; 374-370 ABA)",26 (19 NBA &amp; 7 ABA),2 (0 NBA &amp; 2 ABA)
"Charlotte, North Carolina","Charlotte Hornets, Charlotte Bobcats, Charlotte Hornets",26; 1988-89 to 2015-16,"891-1159, .435 W-L%",9,0
"Chicago, Illinois",Chicago Bulls,50; 1966-67 to 2015-16,"2099-1917, .523 W-L%",34,6
"Cleveland, Ohio",Cleveland Cavaliers,46; 1970-71 to 2015-16,"1706-1983, .462 W-L%",19,0
"Dallas, Texas",Dallas Mavericks,36; 1980-81 to 2015-16,"1468-1405, .511 W-L%",20,1
"Denver, Colorado","Denver Nuggets, Denver Nuggets, Denver Rockets",49 (40 NBA &amp; 9 ABA); 1967-68 to 2015-16,"1962-1981, .498 W-L% (1549-1650 NBA &amp; 413-331 ABA)",33 (24 NBA &amp; 9 ABA),0
"Detroit, Michigan","Detroit Pistons, Fort Wayne Pistons",68; 1948-49 to 2015-16,"2598-2737, .487 W-L%",40,3
"Oakland, California","Golden State Warriors, San Francisco Warriors, Philadelphia Warriors",70; 1946-47 to 2015-16,"2561-2879, .471 W-L%",31,4
"Houston, Texas","Houston Rockets, San Diego Rockets",49; 1967-68 to 2015-16,"2037-1902, .517 W-L%",29,2
"Indianapolis, Indiana","Indiana Pacers, Indiana Pacers",49 (40 NBA &amp; 9 ABA); 1967-68 to 2015-16,"2013-1928, .511 W-L% (1586-1611 NBA &amp; 427-317 ABA)",31 (22 NBA &amp; 9 ABA),3 (0 NBA &amp; 3 ABA)
"Los Angeles, California","Los Angeles Clippers, San Diego Clippers, Buffalo Braves",46; 1970-71 to 2015-16,"1448-2242, .392 W-L%",11,0
"Los Angeles, California","Los Angeles Lakers, Minneapolis Lakers",68; 1948-49 to 2015-16,"3228-2110, .605 W-L%",60,16
"Memphis, Tennessee","Memphis Grizzlies, Vancouver Grizzlies",21; 1995-96 to 2015-16,"681-960, .415 W-L%",8,0
"Miami, Florida",Miami Heat,28; 1988-89 to 2015-16,"1149-1066, .519 W-L%",18,3
"Milwaukee, Wisconsin",Milwaukee Bucks,48; 1968-69 to 2015-16,"1970-1887, .511 W-L%",28,1
"Minnesota, Minnesota",Minnesota Timberwolves,27; 1989-90 to 2015-16,"832-1302, .390 W-L%",8,0
"New Orleans, Louisiana","New Orleans Pelicans, New Orleans Hornets, New Orleans/Oklahoma City Hornets",14; 2002-03 to 2015-16,"516-581, .470 W-L%",6,0
